"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/24/1999","AQS","060070002","1","10","ug/m3 LC","42","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/30/1999","AQS","060070002","1","15","ug/m3 LC","57","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/05/1999","AQS","060070002","1","10","ug/m3 LC","42","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/11/1999","AQS","060070002","1","7","ug/m3 LC","29","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/17/1999","AQS","060070002","1","8","ug/m3 LC","33","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/23/1999","AQS","060070002","1","8","ug/m3 LC","33","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/29/1999","AQS","060070002","1","8","ug/m3 LC","33","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/05/1999","AQS","060070002","1","5","ug/m3 LC","21","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/11/1999","AQS","060070002","1","12","ug/m3 LC","50","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/17/1999","AQS","060070002","1","8","ug/m3 LC","33","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/23/1999","AQS","060070002","1","9","ug/m3 LC","38","Chico-Manzanita Ave.","1","100.0000","88101","PM2.5 - Local Conditions","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
